"","measured_percentN","Measured_Chl","measured_SLA","measured_Vmax","Measured_Sucrose","Wave_500","Wave_1600","Wave_2400"
"72",4.31,16.52284125,30.43987483,19.34,2.359393807,0.076226314,0.267956726,0.08899488
"73",5.07,30.62750525,25.79318182,NA,2.456831899,0.054519328,0.263735942,0.075575428
"74",4.4,20.7259395,27.5461165,27.56,1.304040464,0.062147762,0.272630627,0.085193948
"75",4.53,24.50237625,23.7261324,47.56,NA,0.049295979,0.262627076,0.062883252
"76",4.37,26.376075,NA,44.64,NA,0.053997972,0.270183198,0.075246439
"77",4.32,22.40077125,30.1300885,NA,NA,0.067275902,0.2610068,0.078462435
"78",4.49,25.39736375,28.02222222,44.66,NA,0.053661849,0.258999486,0.063375093
"79",4.18,18.36828125,25.22,45.57,NA,0.068928718,0.283460641,0.080378893
"80",NA,23.09274,22.62259136,46.6,NA,0.053490549,0.245965349,0.066243354
"81",3.89,24.70791125,20.44864865,48.35,NA,0.055034713,0.25932844,0.069137391
"82",4.38,27.88305425,25.53205849,NA,2.672587675,0.047400081,0.255699976,0.066115585
"83",4.44,20.77735,27.56842105,45.97,NA,0.062565225,0.269036288,0.068555498
"84",NA,25.2706025,21.4807571,NA,NA,0.06107357,0.274683958,0.078770935
"85",4.49,25.52831875,24.4942446,53.58,NA,0.059651663,0.275047605,0.082417254
"86",4.96,36.21940575,20.93267753,46.33,4.322075381,0.049235555,0.26950153,0.06969028
"87",NA,28.31026,23.7261324,36.51,NA,0.056887709,0.269538897,0.069255258
"88",4.55,27.9703605,22.42146855,43.23,5.288208292,0.052062522,0.273001698,0.071819972
"89",3.4,24.4998875,19.45542857,NA,NA,0.052437013,0.269274936,0.07464939
"90",4.73,27.2571485,NA,51.41,2.622490215,0.047821472,0.252511062,0.061779908
"91",4.86,30.01261,24.81559767,NA,3.466012141,0.040679264,0.260936141,0.060640893
"92",4.33,21.1436225,27.2376,43.89,NA,0.048966321,0.25342284,0.068819367
"93",4.74,25.983265,28.61092437,42.94,NA,0.045763575,0.263495679,0.067011649
"94",NA,28.5224225,23.24027304,23.63,NA,0.057399959,0.275380654,0.077998726
"95",4.39,32.33150975,23.80076896,30.99,2.568189719,0.042682829,0.251895469,0.063515904
"96",3.16,7.53946275,28.02222222,NA,2.832664541,0.073623248,0.273716279,0.081100193
"97",3.66,14.29767625,23.43220922,20.86,3.710391376,0.074450937,0.263432982,0.077276934
"98",3,7.624939,24.67173913,11.67,3.811256385,0.074443929,0.266889544,0.076657552
"99",3.4,6.72880325,24.0614841,7.32,3.876098176,0.07428171,0.249584431,0.077429449
"100",4.31,20.69860375,24.76145455,25.06,NA,0.054222915,0.254340786,0.070407356
"101",4.19,23.48471125,29.2248927,NA,NA,0.063981793,0.273560391,0.078277497
"102",4.72,26.6744155,22.90413724,39.49,2.783945495,0.055981876,0.263764438,0.076538747
"103",4.05,30.3545455,21.63775024,42.55,3.779206009,0.051836362,0.261227635,0.070532497
"104",4.42,23.87836,25.22,NA,NA,0.052706012,0.25422664,0.068203328
"105",4.38,26.7125375,24.67173913,39.07,NA,0.063816665,0.271165754,0.080392952
"106",3.77,26.9556865,24.12969525,29.89,NA,0.058268466,0.2732112,0.078429404
"107",4.05,19.560504,25.32316846,31.07,3.609526368,0.055102173,0.241196695,0.064412878
"108",NA,22.26,28.30174564,32.9757,NA,0.048226412,0.24629753,0.067995969
"109",NA,21.13,25.87158055,38.4415,NA,0.048995991,0.250562075,0.069642673
"110",NA,16.57,28.65909091,34.9438,NA,0.056365041,0.253165142,0.074708672
"111",NA,25.45,26.68260188,44.6001,NA,0.053490546,0.255572185,0.070992272
"112",NA,15.49,24.42290749,28.0095,NA,0.074343997,0.264716524,0.086973463
"113",NA,30.66,20.12126388,32.3698,NA,0.052405794,0.26454369,0.071364696
"114",NA,27.18,21.55225246,43.8351,NA,0.063214831,0.270769126,0.078576183
"115",NA,33.4,23.17383821,31.8873,NA,0.058297967,0.269807989,0.078006866
"116",NA,23.87,29.27865797,35.5366,NA,0.070566601,0.275679593,0.088897213
"117",NA,25.3,24.56493506,36.1641,NA,0.056980849,0.26994764,0.07928293
"118",NA,19.25,26.57845433,37.8941,NA,0.050909113,0.250312035,0.068439803
"119",NA,27.4,22.53658537,43.5308,NA,0.075806842,0.282136796,0.097030856
"120",NA,29.16,28.21796407,30.073,NA,0.070905543,0.285245099,0.092613331
"121",NA,36.29,21.01404682,48.5553,NA,0.066411508,0.274670359,0.081066804
"122",NA,28.5,20.85132743,45.2376,NA,0.049775494,0.259835709,0.069182748
"123",NA,23.67,23.38079881,38.4371,NA,0.068561469,0.271953268,0.084520536
"124",NA,22.16,24.54722422,35.6927,NA,0.05353306,0.265613265,0.075651243
"125",NA,20.77,28.86562103,34.771,NA,0.056041147,0.259360606,0.076830158
"126",NA,18.18,27.87310684,33.4994,NA,0.052107619,0.251212062,0.071065952
"127",NA,28.66,23.10566315,35.2836,NA,0.054057242,0.271364935,0.075936949
"128",NA,28.22,26.777035,36.9532,NA,0.055513629,0.262908241,0.075237371
"129",NA,40.11,21.42974079,41.9943,NA,0.057562785,0.279802894,0.08246904
"130",NA,24.1,27.27083333,30.9407,NA,0.070234923,0.280095732,0.09998557
"131",NA,29.79,22.09800703,34.7463,NA,0.065561116,0.263978095,0.081090705
"132",NA,23.4,19.95933926,43.377,NA,0.05613497,0.270970777,0.075660092
"133",NA,18.25,28.30174564,39.0781,NA,0.055735852,0.252273113,0.070986462
"134",NA,23.53,22.14473684,37.3319,NA,0.055886821,0.267344541,0.080463645
"135",NA,25.76,24.9611437,39.7858,NA,0.056364054,0.263658173,0.074535734
"136",NA,35.65,22.472103,35.27,NA,0.054448246,0.276987321,0.08023691
"137",NA,23.86,24.29698376,32.5614,NA,0.071435319,0.286820068,0.100051609
"138",NA,25.71,21.55718207,35.6739,NA,0.052929674,0.254463185,0.068244751
"139",NA,28.36,19.93401015,32.6605,NA,0.059114328,0.270843447,0.075548933
"140",NA,20.63,24.44149318,39.6295,NA,0.050470881,0.240235183,0.062932583
"141",NA,31.37,21.73443983,40.4995,NA,0.061215933,0.263953567,0.075430678
"142",NA,15.12,26.2809726,32.6874,NA,0.057186371,0.251546834,0.070734994
"143",NA,20.53,25.8225256,37.237,NA,0.050673721,0.260627916,0.073347233
"144",NA,39.26,20.31206897,50.43,NA,0.057288013,0.270589956,0.080567763
"145",NA,39.36,22.31778357,49.7038,NA,0.050850753,0.269108569,0.075163701
"146",NA,32.64,26.99742194,42.5654,NA,0.065110373,0.290996222,0.102834048
"147",NA,39.59,24.54375,44.5853,NA,0.053387082,0.277113627,0.080441587
"148",NA,39.95,26.00662252,46.7811,NA,0.060620168,0.278718865,0.088262987
"149",NA,38.68,24.48636009,48.0764,NA,0.045882253,0.266515105,0.073627321
"150",NA,22.2,27.00515759,NA,NA,0.058423057,0.258675455,0.076648424
"151",NA,27.5,26.10024924,35.4819,NA,0.057194333,0.261303338,0.079921083
"152",NA,11.62,24.9994695,18.3497,NA,0.067860196,0.288376962,0.09352313
"153",NA,24.52,26.42961301,NA,NA,0.069760879,0.290858639,0.097059514
"154",NA,21.25,26.20183486,23.1872,NA,0.053864534,0.269145668,0.075914785
"155",NA,26.32,24.17235189,34.2173,NA,0.069843655,0.273230119,0.093300783
"156",NA,21.74,24.71651543,50.6761,NA,0.052368049,0.254544909,0.06952428
"157",NA,21.6,27.70301058,45.4985,NA,0.06050604,0.261613661,0.074745452
"158",NA,15.63,23.74267782,33.9369,NA,0.052316081,0.245863982,0.064527124
"159",NA,22.88,NA,NA,NA,0.052804729,0.249605023,0.069275164
"160",NA,17.47,27.62434077,41.6415,NA,0.05468019,0.257262597,0.070721968
"161",NA,12.78,26.9252669,17.6895,NA,0.056848163,0.225601006,0.066919818
"162",NA,15.74,28.05686032,21.5839,NA,0.050986316,0.219907288,0.062179287
"163",NA,15.62,30.43987483,25.9381,NA,0.051780105,0.239653007,0.066884272
"164",NA,14.16,25.85679012,NA,NA,0.06747104,0.282680056,0.089785172
"165",NA,25.3,25.69465649,23.2648,NA,0.056601672,0.255429503,0.078561723
"166",NA,19.94,27.60194568,NA,NA,0.055664108,0.256618021,0.072045042
"167",NA,29.39,26.20007695,NA,NA,0.045129516,0.254384437,0.063672535
"168",NA,24.33,26.70352941,53.5186,NA,0.050960376,0.262584875,0.069049761
"169",NA,23.74,NA,54.6776,NA,0.04262649,0.251541106,0.062219531
"170",NA,28.28,28.65909091,46.9718,NA,0.04597141,0.259444864,0.069099967
"171",NA,20.47,28.7074199,NA,NA,0.055131598,0.257030766,0.071240965
"172",NA,24.15,29.47792208,49.5992,NA,0.05188385,0.263747522,0.070970554
"173",NA,28.02,28.14964862,NA,NA,0.051070052,0.260577005,0.069882007
"174",NA,37.06,24.36608066,54.8164,NA,0.054580977,0.274819033,0.077240316
"175",NA,42.76,23.58558559,49.9081,NA,0.053036386,0.267112299,0.07609983
"176",NA,39.53,26.10024924,37.7047,NA,0.051523327,0.27396169,0.079176326
"177",NA,40.59,26.04255319,34.575,NA,0.049898646,0.26400743,0.074128977
"178",NA,41.56,23.80601162,40.3241,NA,0.055708297,0.279758172,0.080130411
"179",NA,35.73,22.50429799,40.2387,NA,0.056709758,0.282398598,0.083377822
"180",NA,37.82,24.17235189,45.36,NA,0.055946768,0.27674163,0.084866718
"181",NA,16.85,26.4964858,32.7621,NA,0.064508631,0.278273515,0.082706639
"182",NA,22.61,23.32871287,30.0688,NA,0.062881754,0.282916383,0.094878734
"183",NA,28.53,24.41658031,27.5785,NA,0.060610199,0.278783962,0.091972896
"184",NA,19.57,25.10602025,26.4767,NA,0.065921339,0.279831052,0.095086821
"185",NA,22.99,23.17953763,31.7757,NA,0.058229591,0.266659257,0.079783739
"186",1.85,17.11,NA,NA,NA,0.073764232,0.284390336,0.091806526
"187",1.85,18.61,NA,NA,NA,0.069407084,0.282109006,0.09235448
"188",1.42,7.78,NA,13.39,NA,0.06210961,0.273221528,0.077805066
"189",1.42,13.21,NA,NA,NA,0.06901914,0.271645879,0.084432018
"190",1.51,13.37,NA,12.11,NA,0.079150674,0.287515381,0.097403544
"191",1.72,14.89,NA,NA,NA,0.079615825,0.287787265,0.094437005
